DateTime_local,10038001,10038002,10038003,10038004,10038005,TOTAL
2025-09-03 02:05:00+02:00,20.0,12.0,0.0,32.0,0.0,64.0
2025-09-03 02:10:00+02:00,20.0,14.666666666666668,1.3333333333333335,34.666666666666664,0.0,70.66666666666667
2025-09-03 02:15:00+02:00,20.0,17.333333333333336,2.666666666666667,37.333333333333336,0.0,77.33333333333334
2025-09-03 02:20:00+02:00,20.0,20.0,4.0,40.0,0.0,84.0
2025-09-03 02:25:00+02:00,21.333333333333332,25.333333333333336,2.6666666666666665,41.333333333333336,0.0,90.66666666666667
2025-09-03 02:30:00+02:00,22.666666666666668,30.666666666666668,1.333333333333333,42.666666666666664,0.0,97.33333333333334
2025-09-03 02:35:00+02:00,24.0,36.0,0.0,44.0,0.0,104.0
2025-09-03 02:40:00+02:00,22.666666666666668,33.333333333333336,1.3333333333333335,40.0,0.0,97.33333333333334
2025-09-03 02:45:00+02:00,21.333333333333332,30.666666666666664,2.666666666666667,36.0,0.0,90.66666666666666
2025-09-03 02:50:00+02:00,20.0,28.0,4.0,32.0,0.0,84.0
2025-09-03 02:55:00+02:00,25.333333333333336,25.333333333333332,4.0,33.333333333333336,0.0,88.0
2025-09-03 03:00:00+02:00,30.666666666666668,22.666666666666664,4.0,34.666666666666664,0.0,92.0
2025-09-03 03:05:00+02:00,36.0,20.0,4.0,36.0,0.0,96.0
2025-09-03 03:10:00+02:00,32.0,25.333333333333336,2.6666666666666665,32.0,0.0,92.0
2025-09-03 03:15:00+02:00,28.0,30.666666666666668,1.333333333333333,28.0,0.0,88.0
2025-09-03 03:20:00+02:00,24.0,36.0,0.0,24.0,0.0,84.0
2025-09-03 03:25:00+02:00,26.666666666666668,36.0,1.3333333333333335,26.666666666666668,0.0,90.66666666666667
2025-09-03 03:30:00+02:00,29.333333333333336,36.0,2.666666666666667,29.333333333333336,0.0,97.33333333333334
2025-09-03 03:35:00+02:00,32.0,36.0,4.0,32.0,0.0,104.0
2025-09-03 03:40:00+02:00,30.666666666666668,32.0,4.0,37.333333333333336,0.0,104.0
2025-09-03 03:45:00+02:00,29.333333333333332,28.0,4.0,42.66666666666667,0.0,104.0
2025-09-03 03:50:00+02:00,28.0,24.0,4.0,48.0,0.0,104.0
2025-09-03 03:55:00+02:00,26.666666666666668,21.333333333333332,2.6666666666666665,41.333333333333336,0.0,92.0
2025-09-03 04:00:00+02:00,25.333333333333332,18.666666666666664,1.333333333333333,34.666666666666664,0.0,80.0
2025-09-03 04:05:00+02:00,24.0,16.0,0.0,28.0,0.0,68.0
2025-09-03 04:10:00+02:00,25.333333333333332,13.333333333333332,0.0,25.333333333333332,0.0,64.0
2025-09-03 04:15:00+02:00,26.666666666666668,10.666666666666666,0.0,22.666666666666664,0.0,60.0
2025-09-03 04:20:00+02:00,28.0,8.0,0.0,20.0,0.0,56.0
2025-09-03 04:25:00+02:00,20.0,16.0,0.0,17.333333333333332,0.0,53.33333333333333
2025-09-03 04:30:00+02:00,12.000000000000002,24.0,0.0,14.666666666666666,0.0,50.666666666666664
2025-09-03 04:35:00+02:00,4.0,32.0,0.0,12.0,0.0,48.0
2025-09-03 04:40:00+02:00,33.333333333333336,34.666666666666664,0.0,21.333333333333336,0.0,89.33333333333334
2025-09-03 04:45:00+02:00,62.66666666666667,37.333333333333336,0.0,30.666666666666668,0.0,130.66666666666666
2025-09-03 04:50:00+02:00,92.0,40.0,0.0,40.0,0.0,172.0
2025-09-03 04:55:00+02:00,72.0,33.333333333333336,0.0,40.0,0.0,145.33333333333334
2025-09-03 05:00:00+02:00,52.0,26.666666666666664,0.0,40.0,0.0,118.66666666666666
2025-09-03 05:05:00+02:00,32.0,20.0,0.0,40.0,0.0,92.0
2025-09-03 05:10:00+02:00,37.333333333333336,24.0,0.0,38.666666666666664,0.0,100.0
2025-09-03 05:15:00+02:00,42.66666666666667,28.0,0.0,37.333333333333336,0.0,108.0
2025-09-03 05:20:00+02:00,48.0,32.0,0.0,36.0,0.0,116.0
2025-09-03 05:25:00+02:00,50.666666666666664,40.0,0.0,40.0,0.0,130.66666666666666
2025-09-03 05:30:00+02:00,53.333333333333336,48.0,0.0,44.0,0.0,145.33333333333334
2025-09-03 05:35:00+02:00,56.0,56.0,0.0,48.0,0.0,160.0
2025-09-03 05:40:00+02:00,49.333333333333336,53.333333333333336,1.3333333333333335,73.33333333333333,0.0,177.33333333333331
2025-09-03 05:45:00+02:00,42.666666666666664,50.666666666666664,2.666666666666667,98.66666666666666,0.0,194.66666666666666
2025-09-03 05:50:00+02:00,36.0,48.0,4.0,124.0,0.0,212.0
2025-09-03 05:55:00+02:00,36.0,57.333333333333336,4.0,122.66666666666667,0.0,220.0
2025-09-03 06:00:00+02:00,36.0,66.66666666666667,4.0,121.33333333333333,0.0,228.0
2025-09-03 06:05:00+02:00,36.0,76.0,4.0,120.0,0.0,236.0
2025-09-03 06:10:00+02:00,48.0,72.0,4.0,132.0,0.0,256.0
2025-09-03 06:15:00+02:00,60.0,68.0,4.0,144.0,0.0,276.0
2025-09-03 06:20:00+02:00,72.0,64.0,4.0,156.0,0.0,296.0
2025-09-03 06:25:00+02:00,80.0,58.666666666666664,6.666666666666667,192.0,0.0,337.3333333333333
2025-09-03 06:30:00+02:00,88.0,53.33333333333333,9.333333333333334,228.0,0.0,378.66666666666663
2025-09-03 06:35:00+02:00,96.0,48.0,12.0,264.0,0.0,420.0
2025-09-03 06:40:00+02:00,96.0,86.66666666666666,10.666666666666666,244.0,0.0,437.3333333333333
2025-09-03 06:45:00+02:00,96.0,125.33333333333333,9.333333333333332,224.0,0.0,454.66666666666663
2025-09-03 06:50:00+02:00,96.0,164.0,8.0,204.0,0.0,472.0
